map,energy,population_deviation,estimated_vote_pct,pr_deviation,pr_seats,pr_pct,estimated_seats,estimated_seat_pct,fptp_seats,disproportionality,efficiency_gap,gamma,seats_bias,votes_bias,geometric_seats_bias,global_symmetry,declination,mean_median_statewide,mean_median_average_district,turnout_bias,lopsided_outcomes,competitive_districts,competitive_district_pct,responsiveness,responsive_districts,responsive_district_pct,overall_responsiveness,avg_dem_win_pct,avg_rep_win_pct,opportunity_districts,proportional_opportunities,coalition_districts,proportional_coalitions,reock,polsby_popper,county_splitting,district_splitting,proportionality,competitiveness,minority,compactness,splitting
010_530,2402119.899166,0.018100,0.494300,0.065300,7,0.500000,6.085300,0.434700,5,0.059600,0.053900,0.046900,0.045500,0.011800,0.044800,0.011400,5.762100,0.016400,0.016000,0.000300,0.007500,4.152000,0.296600,3.230200,4.152000,0.296600,11.425000,0.603500,0.566900,0.000000,5,8.532800,5,0.379300,0.151000,1.348700,2.386800,70,40,50,32,2
011_531,2671713.306986,0.011600,0.494300,0.062800,7,0.500000,6.121400,0.437200,6,0.057000,0.051300,0.046500,0.046100,0.014600,0.045700,0.016700,5.776300,0.023100,0.020800,0.002300,0.006000,3.525600,0.251800,2.838400,3.525600,0.251800,10.974100,0.598500,0.587800,0.000000,5,8.294800,5,0.345600,0.152400,1.404800,2.534400,71,34,50,26,0
012_532,1991464.765274,0.016000,0.494300,0.066600,7,0.500000,6.067900,0.433400,6,0.060900,0.055100,0.045200,0.044200,0.010400,0.043500,0.010600,4.812600,0.019600,0.018400,0.001100,0.004200,4.729000,0.337800,3.734000,4.729000,0.337800,11.643200,0.577800,0.570400,0.000000,5,7.624700,5,0.395700,0.168800,1.362900,2.357100,70,45,50,38,0
013_535,2069515.769854,0.019000,0.494300,0.129300,7,0.500000,5.190000,0.370700,4,0.123600,0.117800,0.115000,0.112000,0.026900,0.110900,0.029800,16.752600,0.041400,0.040900,0.000500,0.033500,3.326800,0.237600,2.502500,3.326800,0.237600,22.608800,0.644300,0.566500,0.000000,5,7.519400,5,0.395800,0.152300,1.342200,2.370400,38,32,50,36,4
014_536,2216735.946039,0.018800,0.494300,0.046600,7,0.500000,6.347700,0.453400,7,0.040900,0.035200,0.019800,0.019300,0.004000,0.019000,0.005400,2.420600,0.000200,-0.000200,0.000400,-0.000500,6.156800,0.439800,4.688600,6.156800,0.439800,8.148200,0.561700,0.573900,0.000000,5,7.481100,5,0.382100,0.158600,1.408700,2.433300,80,59,50,34,0
015_538,2329220.044555,0.017800,0.494300,0.027100,7,0.500000,6.621000,0.472900,7,0.021400,0.015600,0.004800,0.005200,0.001400,0.005000,0.002400,0.838400,-0.007900,-0.007700,-0.000300,-0.003500,4.878400,0.348500,3.892100,4.878400,0.348500,4.734700,0.568900,0.579900,0.000000,5,7.457600,5,0.364200,0.152900,1.397400,2.423800,89,46,50,30,0
016_539,2073626.540838,0.018600,0.494300,0.024100,7,0.500000,6.662800,0.475900,7,0.018400,0.012600,0.004100,0.004900,0.001500,0.004900,0.006100,0.975100,-0.007600,-0.007700,0.000100,-0.003500,4.381400,0.313000,3.492000,4.381400,0.313000,4.211900,0.583500,0.595100,0.774300,5,6.713000,5,0.406300,0.168200,1.380700,2.399900,91,42,58,40,0
017_540,2835463.955828,0.017800,0.494300,-0.013600,7,0.500000,7.190500,0.513600,7,-0.019300,-0.025000,-0.040900,-0.039800,-0.008600,-0.039700,-0.010400,-3.245800,-0.008100,-0.006600,-0.001500,-0.011700,6.174700,0.441100,4.771100,6.174700,0.441100,-2.379800,0.560600,0.569100,0.693500,5,8.213100,5,0.334400,0.156900,1.389200,2.489000,93,59,57,24,0
018_541,2221759.165237,0.017600,0.494300,0.053200,7,0.500000,6.254900,0.446800,6,0.047500,0.041800,0.035100,0.033300,0.008700,0.032400,0.006900,3.905300,0.026700,0.025700,0.001000,0.002500,4.056200,0.289700,3.176900,4.056200,0.289700,9.307700,0.585900,0.576200,0.000000,5,7.586600,5,0.345400,0.149600,1.390700,2.481900,76,39,50,25,0
019_542,2627746.666364,0.018600,0.494300,0.071800,7,0.500000,5.994900,0.428200,6,0.066100,0.060400,0.048900,0.048700,0.011500,0.048300,0.017000,6.416200,0.006300,0.006400,-0.000100,0.009300,5.196400,0.371200,4.008800,5.196400,0.371200,12.554400,0.582700,0.571900,0.000000,5,6.570300,5,0.343500,0.142400,1.394800,2.543300,67,49,50,24,0
020_544,2398323.464676,0.018400,0.494300,0.052000,7,0.500000,6.272700,0.448000,6,0.046200,0.040500,0.030500,0.030300,0.007600,0.029900,0.008500,3.657200,0.012000,0.011500,0.000500,0.002300,4.637800,0.331300,3.747200,4.637800,0.331300,9.084800,0.583400,0.573400,0.000000,5,8.520200,5,0.385600,0.184000,1.409600,2.408100,77,44,50,38,0
021_545,2383117.035753,0.019000,0.494300,0.059700,7,0.500000,6.164500,0.440300,6,0.054000,0.048200,0.043200,0.041800,0.012000,0.041100,0.010400,5.890600,0.023500,0.023200,0.000300,0.008200,3.646900,0.260500,2.876700,3.646900,0.260500,10.436600,0.596700,0.583000,0.000000,5,6.492700,5,0.378000,0.174700,1.362300,2.456600,73,35,50,35,0
022_547,2772500.987385,0.018300,0.494300,0.066600,7,0.500000,6.067100,0.433400,5,0.060900,0.055200,0.045100,0.044300,0.010800,0.043900,0.014500,6.326300,0.014000,0.013600,0.000400,0.008900,4.915100,0.351100,3.767100,4.915100,0.351100,11.653500,0.609100,0.570100,0.000000,5,7.381200,5,0.349000,0.155800,1.417100,2.375300,70,47,50,27,0
023_549,2340218.133728,0.015900,0.494300,0.083600,7,0.500000,5.829300,0.416400,5,0.077900,0.072200,0.066400,0.065200,0.018000,0.064600,0.019100,9.399800,0.020700,0.019500,0.001200,0.015800,3.953200,0.282400,3.015300,3.953200,0.282400,14.623100,0.618800,0.576700,0.000000,5,8.286400,5,0.384800,0.185100,1.397200,2.460400,61,38,50,38,0
024_550,3482597.838687,0.016400,0.494300,0.052100,7,0.500000,6.271200,0.447900,6,0.046300,0.040600,0.038600,0.037900,0.013600,0.037400,0.011100,5.142400,0.025700,0.025700,0.000000,0.006700,2.871700,0.205100,2.348100,2.871700,0.205100,9.103500,0.600900,0.585800,0.000000,5,6.689200,5,0.314500,0.134400,1.381200,2.516400,77,27,50,18,0
